Biomarker Name,ID,Exhaustive Synonyms,Type
CERS2,,,Karyotype
GFUS,,,Karyotype
LDB2,,,Karyotype
NFKBIE,,,Karyotype
RTKN2,,,Karyotype
CASTOR1,,,Karyotype
CCDC88B,,,Karyotype
FAM117B,,,Karyotype
TRIM26,,,Karyotype
RPS19BP1,,,Karyotype
BORCS7-ASMT,,,Karyotype
LINC01776,,,Karyotype
TSNARE1,,,Karyotype
RN7SL167P,,,Karyotype
LINC01470,,,Karyotype
MAU2,,,Karyotype
QPCT,,,Karyotype
SLCO6A1,,,Karyotype
CCDC68,,,Karyotype
MTRFR,,,Karyotype
AKT3,,,Karyotype
SNORC,,,Karyotype
SMIM15-AS1,,,Karyotype
LINC02033,,,Karyotype
MIR137HG,,,Karyotype
PTGES3P4,,,Karyotype
LINC02057,,,Karyotype
KLC1,,,Karyotype
LINC02551,,,Karyotype
SHMT2,,,Karyotype
CNKSR2,,,Karyotype
LINC01360,,,Karyotype
NRGN,,,Karyotype
PPP1R16B,,,Karyotype
EP300-AS1,,,Karyotype
LINC01415,,,Karyotype
RNU6-1029P,,,Karyotype
NDUFB9P3,,,Karyotype
IGSF9B,,,Karyotype
KCTD13-DT,,,Karyotype
STAG1,,,Karyotype
GRM3-AS1,,,Karyotype
RPL6P31,,,Karyotype
PLCH2,,,Karyotype
CLCN3,,,Karyotype
SRPK2,,,Karyotype
SELENOH,,,Karyotype
KRT18P50,,,Karyotype
LBX1,,,Karyotype
ADGRG6,,,Karyotype
GTF2I-AS1,,,Karyotype
GPR78,,,Karyotype
RSRC1,,,Karyotype
SNHG31,,,Karyotype
LIN28B,,,Karyotype
HSD17B12,,,Karyotype
MIR4675,,,Karyotype
CDK8,,,Karyotype
PRKN,,,Karyotype
ERBIN,,,Karyotype
ST3GAL1,,,Karyotype
SPSB4,,,Karyotype
ASB3,,,Karyotype
LINC02455,,,Karyotype
BAZ2B,,,Karyotype
MIR302F,,,Karyotype
ELF1,,,Karyotype
SIMALR,,,Karyotype
H2BP5,,,Karyotype
CARMIL1,,,Karyotype
CDHR5,,,Karyotype
ATG5,,,Karyotype
LINC01088,,,Karyotype
CDK18,,,Karyotype
CERCAM,,,Karyotype
PRPS2,,,Karyotype
LINC02834,,,Karyotype
FAM171A1,,,Karyotype
MIR4462,,,Karyotype
PGPEP1,,,Karyotype
MAN1A1,,,Karyotype
LINC00208,,,Karyotype
PCNX3,,,Karyotype
RN7SL123P,,,Karyotype
ZNF697,,,Karyotype
PSORS1C2,,,Karyotype
NDUFAF2P1,,,Karyotype
ZC3H10,,,Karyotype
SOX5,,,Karyotype
GNGT1,,,Karyotype
MARCHF1,,,Karyotype
CENPE,,,Karyotype
SEPTIN4-AS1,,,Karyotype
RPL10P14,,,Karyotype
UCK2,,,Karyotype
SLC25A44,,,Karyotype
PRDM14,,,Karyotype
RFWD3,,,Karyotype
HPGDS,,,Karyotype
TFDP2,,,Karyotype
ZFPM1,,,Karyotype
BCAR4,,,Karyotype
PPIAP74,,,Karyotype
MBIP,,,Karyotype
PTCSC2,,,Karyotype
DUSP14,,,Karyotype
ZNF229,,,Karyotype
RPL6P14,,,Karyotype
RNA5SP430,,,Karyotype
SNTG1,,,Karyotype
AHCYL2,,,Karyotype
NAA25,,,Karyotype
INS-IGF2,,,Karyotype
LINC01104,,,Karyotype
CAPSL,,,Karyotype
MEG3,,,Karyotype
RNF10,,,Karyotype
LINC01151,,,Karyotype
EFCAB8,,,Karyotype
LINC01579,,,Karyotype
RBMS1,,,Karyotype
NPM1P47,,,Karyotype
CDC123,,,Karyotype
TSPAN8,,,Karyotype
VDAC1P5,,,Karyotype
PEX5L,,,Karyotype
PCNX2,,,Karyotype
SDHAF4,,,Karyotype
FILNC1,,,Karyotype
DCDC2C,,,Karyotype
TCERG1L,,,Karyotype
ACP7,,,Karyotype
PLS1,,,Karyotype
HMG20A,,,Karyotype
HUNK,,,Karyotype
KIF11,,,Karyotype
AP3S2,,,Karyotype
COBLL1,,,Karyotype
VPS26A,,,Karyotype
FABP5P10,,,Karyotype
MTND5P21,,,Karyotype
SLC44A3-AS1,,,Karyotype
MRFAP1P1,,,Karyotype
CCNQ,,,Karyotype
RASGRP1,,,Karyotype
TMEM163,,,Karyotype
FSCN3,,,Karyotype
MIR129-1,,,Karyotype
SLC16A13,,,Karyotype
GPSM1,,,Karyotype
MAEA,,,Karyotype
UBE2E2-DT,,,Karyotype
PABPC4-AS1,,,Karyotype
C5orf67,,,Karyotype
ADCY5,,,Karyotype
UBE2E2,,,Karyotype
MIR5702,,,Karyotype
KRT18P24,,,Karyotype
RPSAP52,,,Karyotype
ARAP1,,,Karyotype
DGKB,,,Karyotype
PROX1-AS1,,,Karyotype
TLE1-DT,,,Karyotype
MIR4432HG,,,Karyotype
ACSL1,,,Karyotype
ZZEF1,,,Karyotype
CMIP,,,Karyotype
UBE3C,,,Karyotype
GLP2R,,,Karyotype
IL17REL,,,Karyotype
SYT4,,,Karyotype
LINC02615,,,Karyotype
SLCO4C1,,,Karyotype
LRP12,,,Karyotype
NUFIP2,,,Karyotype
EIF4E2P2,,,Karyotype
CSRP2,,,Karyotype
CACNA1G-AS1,,,Karyotype
GADL1,,,Karyotype
EYA2,,,Karyotype
ETV1,,,Karyotype
PMP2,,,Karyotype
CRHR2,,,Karyotype
HSF1,,,Karyotype
OSBPL1A,,,Karyotype
LIMS2,,,Karyotype
DAAM1,,,Karyotype
LINC01339,,,Karyotype
OTUD3,,,Karyotype
NXPE1,,,Karyotype
AMZ1,,,Karyotype
PLCL1,,,Karyotype
PRXL2B,,,Karyotype
SFMBT1,,,Karyotype
CEP72-DT,,,Karyotype
MMP24OS,,,Karyotype
CHP1,,,Karyotype
ZFP90,,,Karyotype
MICB-DT,,,Karyotype
SMURF1,,,Karyotype
HELQ,,,Karyotype
LINC01122,,,Karyotype
ELFN2,,,Karyotype
MTARC2P1,,,Karyotype
JPH1,,,Karyotype
NME7,,,Karyotype
RN7SL120P,,,Karyotype
SUSD1,,,Karyotype
TSPAN15,,,Karyotype
SLC44A2,,,Karyotype
CACNG5,,,Karyotype
SLC44A4,,,Karyotype
HCG9,,,Karyotype
UBASH3A,,,Karyotype
COX7CP3,,,Karyotype
DDX1,,,Karyotype
LINC01804,,,Karyotype
PRR9,,,Karyotype
JAK1,,,Karyotype
HBP1,,,Karyotype
NOC2L,,,Karyotype
GRB2,,,Karyotype
NOL4,,,Karyotype
ST8SIA4,,,Karyotype
FILIP1,,,Karyotype
MTRF1LP2,,,Karyotype
IL11,,,Karyotype
LTBP3,,,Karyotype
RFLNA,,,Karyotype
TMEM220-AS1,,,Karyotype
SLCO2A1,,,Karyotype
LINC01228,,,Karyotype
PPP1R21,,,Karyotype
L1TD1,,,Karyotype
BOLA3P3,,,Karyotype
EFCAB2,,,Karyotype
DENND5B,,,Karyotype
CD2AP-DT,,,Karyotype
EPHA1,,,Karyotype
NYAP1,,,Karyotype
PPIAP55,,,Karyotype
KRT18P51,,,Karyotype
GUSBP5,,,Karyotype
RPS29P10,,,Karyotype
RNY3,,,Karyotype
FLG-AS1,,,Karyotype
RNU3,,,Karyotype
KHDRBS2-OT1,,,Karyotype
IRF1-AS1,,,Karyotype
MSL3P1,,,Karyotype
RIPK2-DT,,,Karyotype
MGC4859,,,Karyotype
RNF215,,,Karyotype
LINC02462,,,Karyotype
ARHGAP10,,,Karyotype
PTCD2,,,Karyotype
INS,,,Karyotype
FER,,,Karyotype
FAM91A1,,,Karyotype
CDKN2B,,,Karyotype
DGKH,,,Karyotype
SLC35F4,,,Karyotype
SNRNP27,,,Karyotype
REL,,,Karyotype
RBMX2P4,,,Karyotype
PPP4R3B,,,Karyotype
TGFBRAP1,,,Karyotype
FADS1,,,Karyotype
CD28,,,Karyotype
CDCA7L,,,Karyotype
ZNF804B,,,Karyotype
SDK1,,,Karyotype
PCBP2P3,,,Karyotype
PPP3CA,,,Karyotype
LINC02075,,,Karyotype
NKX2,,,Karyotype
GRIN2D,,,Karyotype
CD44,,,Karyotype
TRAM1L1,,,Karyotype
ENTPD6,,,Karyotype
ASXL3,,,Karyotype
POLR2E,,,Karyotype
LIPC,,,Karyotype
EIF1P5,,,Karyotype
RAB3C,,,Karyotype
LINC03000,,,Karyotype
CPS1,,,Karyotype
FAM13B,,,Karyotype
SIX6,,,Karyotype
HLA,,,Karyotype
UNC5CL,,,Karyotype
CSF1,,,Karyotype
RIN3,,,Karyotype
HNRNPA3P1,,,Karyotype
LINC02357,,,Karyotype
ZBTB10,,,Karyotype
ATXN7,,,Karyotype
RNA5SP73,,,Karyotype
PPIAP88,,,Karyotype
PSMB7,,,Karyotype
STX17,,,Karyotype
PTHLH,,,Karyotype
HIP1R,,,Karyotype
TFCP2L1,,,Karyotype
TMEM220,,,Karyotype
PITX3,,,Karyotype
RNA5SP299,,,Karyotype
RXRG,,,Karyotype
LINC01680,,,Karyotype
MAP3K7,,,Karyotype
DMRT2,,,Karyotype
BNC2,,,Karyotype
A1CF,,,Karyotype
RERG,,,Karyotype
PPP2R2D,,,Karyotype
SC5D,,,Karyotype
CFL1,,,Karyotype
SMIM38,,,Karyotype
RUNX3,,,Karyotype
PPARGC1B,,,Karyotype
GLUL,,,Karyotype
TUBBP9,,,Karyotype
DUS4L,,,Karyotype
BUB3P1,,,Karyotype
SOX17,,,Karyotype
INSL6,,,Karyotype
LPAR1,,,Karyotype
NEK6,,,Karyotype
C10orf11,,,Karyotype
CLECL1P,,,Karyotype
OGFOD2,,,Karyotype
BRAP,,,Karyotype
RPL6,,,Karyotype
KAT2A,,,Karyotype
PRKD2,,,Karyotype
SULF2,,,Karyotype
PSD4,,,Karyotype
CCBE1,,,Karyotype
RPS3AP24,,,Karyotype
NELL1,,,Karyotype
KRT5,,,Karyotype
CD36,,,Karyotype
KRR1,,,Karyotype
FTLP17,,,Karyotype
LINC01153,,,Karyotype
FOXQ1,,,Karyotype
SLAMF1,,,Karyotype
GRIK2,,,Karyotype
GYPA,,,Karyotype
MCMBP,,,Karyotype
COQ7,,,Karyotype
SSPN,,,Karyotype
SLC30A2,,,Karyotype
GATM,,,Karyotype
AKAP8P1,,,Karyotype
SYNE2,,,Karyotype
DCD,,,Karyotype
ZDHHC12,,,Karyotype
TRA,,,Karyotype
BCL2L15,,,Karyotype
DCLRE1B,,,Karyotype
ZC3HC1,,,Karyotype
OLFM3,,,Karyotype
FTH1P5,,,Karyotype
LINC02450,,,Karyotype
KCNH8,,,Karyotype
TDRD9,,,Karyotype
ZPBP2,,,Karyotype
RBBP8,,,Karyotype
IL8RA,,,Karyotype
HIP1,,,Karyotype
UFL1,,,Karyotype
EIF3H,,,Karyotype
MBNL1,,,Karyotype
CD80,,,Karyotype
ARRDC1,,,Karyotype
RPL15P21,,,Karyotype
FAM200B,,,Karyotype
HHIP,,,Karyotype
EXOC3,,,Karyotype
PTGER4,,,Karyotype
CYFIP2,,,Karyotype
RREB1,,,Karyotype
EEF1B2P6,,,Karyotype
SUN1,,,Karyotype
CDK6,,,Karyotype
CPVL,,,Karyotype
SMIM21,,,Karyotype
MNX1,,,Karyotype
CFL2,,,Karyotype
RN7SKP168,,,Karyotype
B3GNT2,,,Karyotype
ADH5P2,,,Karyotype
AIMP1P2,,,Karyotype
VTCN1,,,Karyotype
OTUD7B,,,Karyotype
TTC22,,,Karyotype
SP8,,,Karyotype
ADAM15,,,Karyotype
RAET1M,,,Karyotype
LINC00326,,,Karyotype
CREM,,,Karyotype
VTI1A,,,Karyotype
CCNY,,,Karyotype
MUC15,,,Karyotype
HIGD1C,,,Karyotype
TRIM27,,,Karyotype
LINC01230,,,Karyotype
CXCR5,,,Karyotype
DIP2B,,,Karyotype
CLCN4,,,Karyotype
CACNA1E,,,Karyotype
PRLHR,,,Karyotype
PPP1R14B,,,Karyotype
MCTP2,,,Karyotype
GP2,,,Karyotype
LINC00917,,,Karyotype
ARL6IP6,,,Karyotype
ZFP36L2,,,Karyotype
NCKIPSD,,,Karyotype
PDLIM5,,,Karyotype
FGF5,,,Karyotype
MIR29A,,,Karyotype
LINC00603,,,Karyotype
SFTPC,,,Karyotype
GREM1,,,Karyotype
TLE3,,,Karyotype
ZNF512,,,Karyotype
ITGA6,,,Karyotype
KCNE4,,,Karyotype
CCDC80,,,Karyotype
NACAD,,,Karyotype
LINC03007,,,Karyotype
ICAM3,,,Karyotype
PPM1J,,,Karyotype
CASP7,,,Karyotype
LINC00927,,,Karyotype
RASD1,,,Karyotype
SOX9,,,Karyotype
TAF4B,,,Karyotype
LINC02920,,,Karyotype
ITGA4,,,Karyotype
IL18R1,,,Karyotype
RHOB,,,Karyotype
SATB1,,,Karyotype
FILIP1L,,,Karyotype
BOC,,,Karyotype
CCRL2,,,Karyotype
TNIP3,,,Karyotype
ATOH1,,,Karyotype
RAI14,,,Karyotype
MARCHF11,,,Karyotype
CYSTM1,,,Karyotype
GJA1,,,Karyotype
BTN2A1,,,Karyotype
BMP5,,,Karyotype
VNN3P,,,Karyotype
UNCX,,,Karyotype
WDR86,,,Karyotype
EMID1,,,Karyotype
NCOA2,,,Karyotype
PALM2,,,Karyotype
TNFRSF10A,,,Karyotype
POU5F1B,,,Karyotype
SH3GL2,,,Karyotype
GARIN3P1,,,Karyotype
SEC16A,,,Karyotype
CCR4,,,Karyotype
KCNU1,,,Karyotype
RASGRP3,,,Karyotype
MYO18B,,,Karyotype
IL33,,,Karyotype
RNA5SP110,,,Karyotype
DNMT3A,,,Karyotype
OLFM4,,,Karyotype
PRDX1P1,,,Karyotype
DAB2,,,Karyotype
CSNK1E,,,Karyotype
SLC15A4,,,Karyotype
TRIM44,,,Karyotype
TMEM229A,,,Karyotype
LINC01036,,,Karyotype
DNAH7,,,Karyotype
AKR1E2,,,Karyotype
C10orf67,,,Karyotype
DYNC2H1,,,Karyotype
ZNF646,,,Karyotype
RPL15P15,,,Karyotype
THSD7B,,,Karyotype
ZNF80,,,Karyotype
RARB,,,Karyotype
MPPED1,,,Karyotype
CHST9,,,Karyotype
AQP4,,,Karyotype
C2CD4B,,,Karyotype
CCDC73,,,Karyotype
ALAS1,,,Karyotype
LINC02305,,,Karyotype
WWTR1,,,Karyotype
TRIB2,,,Karyotype
BSG,,,Karyotype
MIR557,,,Karyotype
CHD1,,,Karyotype
ZPBP,,,Karyotype
SUMO2P6,,,Karyotype
C1orf185,,,Karyotype
ZFP36L1,,,Karyotype
STK39,,,Karyotype
LINC01724,,,Karyotype
UBE3AP2,,,Karyotype
EPHA7,,,Karyotype
NAV3,,,Karyotype
ZNF385D,,,Karyotype
CNTN5,,,Karyotype
GRP,,,Karyotype
MIR4262,,,Karyotype
FADS2,,,Karyotype
GLT6D1,,,Karyotype
TNP1,,,Karyotype
CDCA7,,,Karyotype
RPS2P18,,,Karyotype
NFIB,,,Karyotype
MIR1208,,,Karyotype
BTBD1,,,Karyotype
ITPKA,,,Karyotype
RNY4,,,Karyotype
LINC01063,,,Karyotype
LINC01645,,,Karyotype
FKBP5,,,Karyotype
SFRP4,,,Karyotype
LSM1,,,Karyotype
SLC45A2,,,Karyotype
SLC24A2,,,Karyotype
IRF8,,,Karyotype
GPC5,,,Karyotype
CYLD,,,Karyotype
DNAH2,,,Karyotype
CYP24A1,,,Karyotype
SLC4A1AP,,,Karyotype
LBH,,,Karyotype
SLC35F1,,,Karyotype
RPL22P13,,,Karyotype
USP12,,,Karyotype
LINC01899,,,Karyotype
XPNPEP1,,,Karyotype
YWHAZP5,,,Karyotype
INA,,,Karyotype
FSTL4,,,Karyotype
EPB41L3,,,Karyotype
SLC22A23,,,Karyotype
IGSF5,,,Karyotype
NTN4,,,Karyotype
VANGL2,,,Karyotype
TAGAP,,,Karyotype
LAMA5,,,Karyotype
HSD17B7,,,Karyotype
CXCL12,,,Karyotype
PHLDB2,,,Karyotype
ATP8A2P3,,,Karyotype
TMEM232,,,Karyotype
NKILA,,,Karyotype
RPSAP72,,,Karyotype
SPRY4,,,Karyotype
KRT18P21,,,Karyotype
LINC02945,,,Karyotype
GPSM3,,,Karyotype
ARHGAP27,,,Karyotype
FMN2,,,Karyotype
PDE4DIP,,,Karyotype
IL12A,,,Karyotype
RPL5P32,,,Karyotype
UBE2D1,,,Karyotype
NAV2,,,Karyotype
FABP5,,,Karyotype
MTDH,,,Karyotype
TSLP,,,Karyotype
MIR7515HG,,,Karyotype
PPP2R2B,,,Karyotype
KCNQ3,,,Karyotype
ZBTB7B,,,Karyotype
HOXD8,,,Karyotype
UBE4B,,,Karyotype
AIDAP3,,,Karyotype
OR2C3,,,Karyotype
COX18,,,Karyotype
BMP2,,,Karyotype
ITGA9,,,Karyotype
OSBPL10,,,Karyotype
LRRC18,,,Karyotype
POLN,,,Karyotype
KLF5,,,Karyotype
CCR12P,,,Karyotype
CD34,,,Karyotype
FOXP4,,,Karyotype
PPY2P,,,Karyotype
NFKBIA,,,Karyotype
SUB1,,,Karyotype
METAP1D,,,Karyotype
DLX2,,,Karyotype
TIMD4,,,Karyotype
PIP5K1B,,,Karyotype
NDFIP2,,,Karyotype
RANBP9,,,Karyotype
TNFSF11,,,Karyotype
HBE1,,,Karyotype
TEF,,,Karyotype
DHX35,,,Karyotype
BAK1,,,Karyotype
GOPC,,,Karyotype
SLC26A3,,,Karyotype
HOXC13,,,Karyotype
GSDMC,,,Karyotype
BMS1,,,Karyotype
PPP2R3C,,,Karyotype
AKAP6,,,Karyotype
TGM3,,,Karyotype
EMSY,,,Karyotype
LRRC32,,,Karyotype
TRAF1,,,Karyotype
ACTL9,,,Karyotype
PPM1A,,,Karyotype
IGF1,,,Karyotype
TRPC6,,,Karyotype
ZNF230,,,Karyotype
CLDN14,,,Karyotype
SNORD77,,,Karyotype
CBLN2,,,Karyotype
COL16A1,,,Karyotype
TNFRSF8,,,Karyotype
NUMBL,,,Karyotype
CCL22,,,Karyotype
CD9,,,Karyotype
MYO1D,,,Karyotype
RNF43,,,Karyotype
C12orf43,,,Karyotype
PGM1,,,Karyotype
RAB32,,,Karyotype
SORBS3,,,Karyotype
SIRPG,,,Karyotype
IL2RB,,,Karyotype
ASIP,,,Karyotype
RPS2,,,Karyotype
CTSH,,,Karyotype
ORMDL3,,,Karyotype
PSCA,,,Karyotype
SLA,,,Karyotype
TNFRSF6B,,,Karyotype
RNF39,,,Karyotype
SCAF1,,,Karyotype
ITPR2,,,Karyotype
IL1R2,,,Karyotype
SNAP25,,,Karyotype
MIR4719,,,Karyotype
HMGA2,,,Karyotype
ANKRD16,,,Karyotype
NR2F2,,,Karyotype
TMTC2,,,Karyotype
TRAF3IP2,,,Karyotype
MYO19,,,Karyotype
LIF,,,Karyotype
LYSMD2,,,Karyotype
VPS13C,,,Karyotype
SMC2,,,Karyotype
PTTG1,,,Karyotype
SLC47A1,,,Karyotype
XPO1,,,Karyotype
LINC02955,,,Karyotype
TBX15,,,Karyotype
PHTF1,,,Karyotype
RPS3AP5,,,Karyotype
CEP68,,,Karyotype
ERAP2,,,Karyotype
PCDH11X,,,Karyotype
ADCY9,,,Karyotype
KLRC4,,,Karyotype
PTOV1P1,,,Karyotype
PPATP1,,,Karyotype
GAB3,,,Karyotype
DAP,,,Karyotype
MIPEPP2,,,Karyotype
ELOVL7,,,Karyotype
SPPL3,,,Karyotype
TRIM49B,,,Karyotype
BLK,,,Karyotype
RTEL1,,,Karyotype
CTSB,,,Karyotype
ZNF436,,,Karyotype
LINC00111,,,Karyotype
BRINP1,,,Karyotype
VAMP3,,,Karyotype
RGS1,,,Karyotype
NRIP1,,,Karyotype
USP25,,,Karyotype
ETS2,,,Karyotype
PSMG1,,,Karyotype
YRDCP3,,,Karyotype
GYPC,,,Karyotype
PLD4,,,Karyotype
NACA,,,Karyotype
SCMH1,,,Karyotype
SULF1,,,Karyotype
GABBR1,,,Karyotype
CCN4,,,Karyotype
SPATS2L,,,Karyotype
RNPEPL1,,,Karyotype
SPTBN1,,,Karyotype
LINC01128,,,Karyotype
CSGALNACT2,,,Karyotype
S100A7A,,,Karyotype
PARK2,,,Karyotype
TNFRSF11A,,,Karyotype
RPL3L,,,Karyotype
NIHCOLE,,,Karyotype
CCL2,,,Karyotype
PSORS1C3,,,Karyotype
NFKBIL1,,,Karyotype
TOX3,,,Karyotype
RPS20P23,,,Karyotype
BTNL2,,,Karyotype
PCDH20,,,Karyotype
IER3,,,Karyotype
MSH5,,,Karyotype
MICB,,,Karyotype
CDKN1A,,,Karyotype
SCAMP3,,,Karyotype
CTCFL,,,Karyotype
MIR4697,,,Karyotype
SLC25A26,,,Karyotype
GPRC6A,,,Karyotype
DACH1,,,Karyotype
ZNF134,,,Karyotype
WBP2NL,,,Karyotype
SYT11,,,Karyotype
ADIPINT,,,Karyotype
TSPAN33,,,Karyotype
KLF2,,,Karyotype
STC1,,,Karyotype
KDM1B,,,Karyotype
MTSS1,,,Karyotype
INTS9,,,Karyotype
C6orf62,,,Karyotype
SCN3A,,,Karyotype
BEST3,,,Karyotype
HNRNPA1P13,,,Karyotype
MIR572,,,Karyotype
MEGF6,,,Karyotype
LINC02030,,,Karyotype
TMEM183AP4,,,Karyotype
BATF3,,,Karyotype
PNKD,,,Karyotype
RAB40B,,,Karyotype
MTF1,,,Karyotype
KCNN4,,,Karyotype
CDC25B,,,Karyotype
CLEC2D,,,Karyotype
BOK,,,Karyotype
PDE2A,,,Karyotype
RSPH14,,,Karyotype
CCDC92,,,Karyotype
CPZ,,,Karyotype
POU2AF3,,,Karyotype
CATSPER3,,,Karyotype
TNFSF8,,,Karyotype
SLC34A1,,,Karyotype
TNFAIP8,,,Karyotype
ANAPC4,,,Karyotype
WDR1,,,Karyotype
LOXL1,,,Karyotype
IFNK,,,Karyotype
CD33,,,Karyotype
PRRX1,,,Karyotype
IL18RAP,,,Karyotype
GRB14,,,Karyotype
SLC9B1,,,Karyotype
SSUH2,,,Karyotype
LCE3D,,,Karyotype
LINC01661,,,Karyotype
IKZF1,,,Karyotype
PTGS2,,,Karyotype
EXO1,,,Karyotype
TNP2,,,Karyotype
DCTN5,,,Karyotype
LRRN2,,,Karyotype
PCF11,,,Karyotype
NUP205,,,Karyotype
BCL2L11,,,Karyotype
LINC01564,,,Karyotype
RMRPP5,,,Karyotype
BTN3A1,,,Karyotype
PTK2,,,Karyotype
SF3A3,,,Karyotype
RGS19,,,Karyotype
TANC1,,,Karyotype
KLHDC7A,,,Karyotype
PIGCP2,,,Karyotype
KIRREL3,,,Karyotype
MX2,,,Karyotype
MOCS1,,,Karyotype
SNF8,,,Karyotype
TUBA8,,,Karyotype
ITPKB,,,Karyotype
RNF186,,,Karyotype
TMCO1,,,Karyotype
CD244,,,Karyotype
LY75,,,Karyotype
KLHL29,,,Karyotype
PPP2R2C,,,Karyotype
PDE8B,,,Karyotype
PRL,,,Karyotype
CARD11,,,Karyotype
ZNF462,,,Karyotype
PRR5L,,,Karyotype
CD69,,,Karyotype
CRAC1,,,Karyotype
TICAM1,,,Karyotype
SSBP4,,,Karyotype
SLC2A4RG,,,Karyotype
NCF4,,,Karyotype
GNB4,,,Karyotype
JDP2,,,Karyotype
ADCK1,,,Karyotype
TRAF3,,,Karyotype
VAV3,,,Karyotype
BMF,,,Karyotype
PRPSAP2,,,Karyotype
ISG20,,,Karyotype
MRPS11,,,Karyotype
MUC21,,,Karyotype
COBL,,,Karyotype
NUCKS1,,,Karyotype
FXR1,,,Karyotype
RGS14,,,Karyotype
TRPV6,,,Karyotype
PHLDB1,,,Karyotype
SIK2,,,Karyotype
PRDM1,,,Karyotype
CAMK2D,,,Karyotype
EDEM1,,,Karyotype
RN7SKP240,,,Karyotype
OPN1SW,,,Karyotype
ZNF354A,,,Karyotype
WIPF1,,,Karyotype
PARD3,,,Karyotype
PML,,,Karyotype
TIMP3,,,Karyotype
CPT1B,,,Karyotype
ITM2A,,,Karyotype
MICU3,,,Karyotype
NUDT10,,,Karyotype
CCDC22,,,Karyotype
TLR7,,,Karyotype
PSRC1,,,Karyotype
SORT1,,,Karyotype
MKL1,,,Karyotype
PTPN1,,,Karyotype
SERINC3,,,Karyotype
EGLN3,,,Karyotype
SCARNA8,,,Karyotype
TOX2,,,Karyotype
ITCH,,,Karyotype
RALY,,,Karyotype
NLRP4,,,Karyotype
STMN3,,,Karyotype
ZHX3,,,Karyotype
MS4A4E,,,Karyotype
RSPO2,,,Karyotype
RYBP,,,Karyotype
SLC39A13,,,Karyotype
HSPA8P5,,,Karyotype
LINC02823,,,Karyotype
KLF12,,,Karyotype
FOXL1,,,Karyotype
LSM7,,,Karyotype
BCAS4,,,Karyotype
TPM3P2,,,Karyotype
LINC01512,,,Karyotype
FBXO32,,,Karyotype
TESPA1,,,Karyotype
MRPL11P2,,,Karyotype
CCDC102B,,,Karyotype
CFHR1,,,Karyotype
ZBTB20,,,Karyotype
CCR1,,,Karyotype
C6orf15,,,Karyotype
TBCC,,,Karyotype
CREB5,,,Karyotype
LMTK2,,,Karyotype
ZNF774,,,Karyotype
SCO1,,,Karyotype
COX11,,,Karyotype
EDNRA,,,Karyotype
IL1A,,,Karyotype
TMEM17,,,Karyotype
KIF3C,,,Karyotype
ALMS1P1,,,Karyotype
CSF2,,,Karyotype
FBXO45,,,Karyotype
CROCC,,,Karyotype
IL15RA,,,Karyotype
RPL5,,,Karyotype
DISC1,,,Karyotype
LINC02474,,,Karyotype
PKN2,,,Karyotype
SLC1A7,,,Karyotype
PTPRF,,,Karyotype
PALMD,,,Karyotype
RNY4P15,,,Karyotype
ACMSD,,,Karyotype
RNF149,,,Karyotype
MIR4437,,,Karyotype
RTN4,,,Karyotype
DPP4,,,Karyotype
OPRM1,,,Karyotype
RBM43,,,Karyotype
CNTN6,,,Karyotype
TBL1XR1,,,Karyotype
SIAH2,,,Karyotype
PRSS44P,,,Karyotype
CAND2,,,Karyotype
FAM47E,,,Karyotype
SCARB2,,,Karyotype
LAMP3,,,Karyotype
DBIL5P,,,Karyotype
KIAA0825,,,Karyotype
BOD1,,,Karyotype
SEZ6L,,,Karyotype
SEMA6A,,,Karyotype
HCG24,,,Karyotype
RNF144B,,,Karyotype
CGA,,,Karyotype
SLC35D3,,,Karyotype
ESRRA,,,Karyotype
AKAP9,,,Karyotype
PHTF2,,,Karyotype
RPL6P22,,,Karyotype
ZYXP1,,,Karyotype
XPO7,,,Karyotype
INTS10,,,Karyotype
DAB2IP,,,Karyotype
ADO,,,Karyotype
BICD1,,,Karyotype
LINC02956,,,Karyotype
TMEM45B,,,Karyotype
AP5B1,,,Karyotype
IGF2,,,Karyotype
OR4B1,,,Karyotype
IFNG,,,Karyotype
MANEA,,,Karyotype
ADAMTSL4,,,Karyotype
KCNN2,,,Karyotype
ZNF689,,,Karyotype
BCAR1,,,Karyotype
CTRB2,,,Karyotype
LINC00673,,,Karyotype
CCR7,,,Karyotype
TSPOAP1,,,Karyotype
FPR2,,,Karyotype
HS6ST3,,,Karyotype
MYOCD,,,Karyotype
WNT7B,,,Karyotype
REEP1,,,Karyotype
MTX2,,,Karyotype
ATG16L2,,,Karyotype
THRB,,,Karyotype
MZF1,,,Karyotype
DCAF1,,,Karyotype
LINC00423,,,Karyotype
ST3GAL6,,,Karyotype
MTCO1P58,,,Karyotype
CUX1,,,Karyotype
SNX6,,,Karyotype
SMAD9,,,Karyotype
ATXN1,,,Karyotype
IL1RAPL1,,,Karyotype
ELOVL5,,,Karyotype
HSCB,,,Karyotype
CYTH4,,,Karyotype
GPX4,,,Karyotype
CCL20,,,Karyotype
KYNU,,,Karyotype
HAL,,,Karyotype
CBX8,,,Karyotype
MIR30B,,,Karyotype
ZNF248,,,Karyotype
MYPN,,,Karyotype
DPF3,,,Karyotype
GTF2I,,,Karyotype
IMPA2,,,Karyotype
ASAH1,,,Karyotype
SLC30A1,,,Karyotype
